PERSONS,WARD,QUESTION,MAILGRP,PHONEGRP,PERSNGRP,APPEAL,CONTACT,MAILINGS,AGE,MAJORPTY,VOTE96.0,VOTE96.1,MAILCALL,VOTED98,PHNSCRPT,DIS.MC,DIS.PHN,PHN.C,PHNTRT1,PHNTRT2,PHN.C1,PHN.C2,NEW,phone,AGE2
2,13,0,0,1,0,3,0,0,74,1,0,1,0,1,6,99,1,1,1,1,1,1,0.0,1.0,54.76
2,24,1,0,1,0,3,0,0,37,0,0,1,0,0,6,99,1,1,1,1,1,1,0.0,1.0,13.69
2,29,1,0,1,0,2,0,0,24,1,0,1,0,1,2,99,1,1,1,1,1,1,0.0,1.0,5.76
2,10,1,0,1,0,2,0,0,81,1,0,1,0,1,2,99,1,1,1,1,1,1,0.0,1.0,65.61
2,21,0,0,1,0,2,0,0,34,1,0,0,0,0,2,99,1,1,1,1,1,1,1.0,1.0,11.56
2,20,1,0,1,0,3,0,0,54,1,1,0,0,1,6,99,1,1,1,1,1,1,0.0,1.0,29.16
2,18,1,0,1,0,3,0,0,65,1,0,1,0,1,6,99,1,1,1,1,1,1,0.0,1.0,42.25
2,27,0,0,1,0,2,0,0,43,0,1,0,0,1,2,99,1,1,1,1,1,1,0.0,1.0,18.49
2,4,1,0,1,0,2,0,0,52,1,0,1,0,1,2,99,1,1,1,1,1,1,0.0,1.0,27.04
2,17,1,0,1,0,2,0,0,44,1,0,1,0,1,2,99,1,1,1,1,1,1,0.0,1.0,19.36
2,26,1,0,1,0,2,0,0,52,1,0,1,0,1,2,99,1,1,1,1,1,1,0.0,1.0,27.04
2,17,1,0,1,0,2,0,0,30,1,1,0,0,0,2,99,1,1,1,1,1,1,0.0,1.0,9.0
2,9,1,0,1,0,3,0,0,57,1,0,1,0,1,6,99,1,1,1,1,1,1,0.0,1.0,32.49
2,26,0,0,1,0,3,0,0,58,0,0,1,0,0,6,99,1,1,1,1,1,1,0.0,1.0,33.64
2,18,1,0,1,0,3,0,0,73,1,0,1,0,1,6,99,1,1,1,1,1,1,0.0,1.0,53.29
2,27,1,0,1,0,2,0,0,24,0,0,0,0,1,2,99,1,1,1,1,1,1,1.0,1.0,5.76
